"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Anthrax","Confirmed cases","Reported cases","N","2015","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","LU","Luxembourg",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","LV","Latvia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","MT","Malta",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","NL","Netherlands",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","NO","Norway",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","PL","Poland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","PT","Portugal",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","RO","Romania",2.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","SE","Sweden",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","SI","Slovenia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","SK","Slovakia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2015","UK","United Kingdom",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","BG","Bulgaria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","DE","Germany",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","DK","Denmark",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EL","Greece",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","ES","Spain",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EU27_21","EU (without UK)",6.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EU27_UK_21","EU (with UK until 2019)",6.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EUEEA30_21","EU/EEA (without UK)",6.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",6.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2016","FR","France",0.000000000,""
